source_file,case_id,model,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd
results_claude-haiku-4-5-20251001.json,case-1,claude-haiku-4-5-20251001,2608,613,0.00261,0.00307,0.00567
results_claude-haiku-4-5-20251001.json,case-2,claude-haiku-4-5-20251001,2602,553,0.0026,0.00277,0.00537
results_claude-haiku-4-5-20251001.json,case-3,claude-haiku-4-5-20251001,2602,433,0.0026,0.00217,0.00477
results_claude-haiku-4-5-20251001.json,case-4,claude-haiku-4-5-20251001,2600,720,0.0026,0.0036,0.0062
results_claude-haiku-4-5-20251001.json,case-5,claude-haiku-4-5-20251001,2599,422,0.0026,0.00211,0.00471
results_claude-haiku-4-5-20251001.json,case-6,claude-haiku-4-5-20251001,2602,372,0.0026,0.00186,0.00446
results_claude-sonnet-4-6.json,case-1,claude-sonnet-4-6,2609,654,0.00783,0.00981,0.01764
results_claude-sonnet-4-6.json,case-2,claude-sonnet-4-6,2603,759,0.00781,0.01139,0.01919
results_claude-sonnet-4-6.json,case-3,claude-sonnet-4-6,2603,372,0.00781,0.00558,0.01339
results_claude-sonnet-4-6.json,case-4,claude-sonnet-4-6,2601,938,0.0078,0.01407,0.02187
results_claude-sonnet-4-6.json,case-5,claude-sonnet-4-6,2600,475,0.0078,0.00713,0.01493
results_claude-sonnet-4-6.json,case-6,claude-sonnet-4-6,2603,526,0.00781,0.00789,0.0157
