case_id,model,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd
case-1,claude-haiku-4-5-20251001,2986,736,0.00299,0.00368,0.00667
case-1,claude-sonnet-4-6,2986,736,0.00896,0.01104,0.02
case-1,claude-sonnet-5,2986,736,0.00597,0.00736,0.01333
case-1,claude-opus-5,2986,736,0.01493,0.0184,0.03333
case-1,claude-fable-5,2986,736,0.02986,0.0368,0.06666
case-2,claude-haiku-4-5-20251001,2980,707,0.00298,0.00353,0.00651
case-2,claude-sonnet-4-6,2980,707,0.00894,0.0106,0.01954
case-2,claude-sonnet-5,2980,707,0.00596,0.00707,0.01303
case-2,claude-opus-5,2980,707,0.0149,0.01767,0.03257
case-2,claude-fable-5,2980,707,0.0298,0.03535,0.06515
case-3,claude-haiku-4-5-20251001,2980,437,0.00298,0.00218,0.00516
case-3,claude-sonnet-4-6,2980,437,0.00894,0.00656,0.0155
case-3,claude-sonnet-5,2980,437,0.00596,0.00437,0.01033
case-3,claude-opus-5,2980,437,0.0149,0.01093,0.02583
case-3,claude-fable-5,2980,437,0.0298,0.02185,0.05165
case-4,claude-haiku-4-5-20251001,2978,862,0.00298,0.00431,0.00729
case-4,claude-sonnet-4-6,2978,862,0.00893,0.01293,0.02186
case-4,claude-sonnet-5,2978,862,0.00596,0.00862,0.01458
case-4,claude-opus-5,2978,862,0.01489,0.02155,0.03644
case-4,claude-fable-5,2978,862,0.02978,0.0431,0.07288
case-5,claude-haiku-4-5-20251001,2977,460,0.00298,0.0023,0.00528
case-5,claude-sonnet-4-6,2977,460,0.00893,0.0069,0.01583
case-5,claude-sonnet-5,2977,460,0.00595,0.0046,0.01055
case-5,claude-opus-5,2977,460,0.01489,0.0115,0.02638
case-5,claude-fable-5,2977,460,0.02977,0.023,0.05277
case-6,claude-haiku-4-5-20251001,2980,382,0.00298,0.00191,0.00489
case-6,claude-sonnet-4-6,2980,382,0.00894,0.00573,0.01467
case-6,claude-sonnet-5,2980,382,0.00596,0.00382,0.00978
case-6,claude-opus-5,2980,382,0.0149,0.00955,0.02445
case-6,claude-fable-5,2980,382,0.0298,0.0191,0.0489
case-7,claude-haiku-4-5-20251001,2979,821,0.00298,0.00411,0.00708
case-7,claude-sonnet-4-6,2979,821,0.00894,0.01231,0.02125
case-7,claude-sonnet-5,2979,821,0.00596,0.00821,0.01417
case-7,claude-opus-5,2979,821,0.01489,0.02053,0.03542
case-7,claude-fable-5,2979,821,0.02979,0.04105,0.07084
